Address,Availability,Owner,Price,Rooms,Size,links
"C.F. Møllers Allé  22, st. TH2300 København S",01-10-2017,Deas logo,"14.733,33 kr.998,00 kr.",3,104,/bolig.aspx?aid=27995&s=2
"C.F. Møllers Allé  22, 7. TH2300 København S",01-10-2017,Deas logo,"15.383,33 kr.1.090,00 kr.",3,104,/bolig.aspx?aid=27994&s=2
"C.F. Møllers Allé  22, 5. TV2300 København S",01-10-2017,Deas logo,"14.291,67 kr.910,00 kr.",3,98,/bolig.aspx?aid=27993&s=2
"C. F. Møllers Alle  4F, 4. TV2300 København S",01-10-2017,Deas logo,"14.145,83 kr.920,00 kr.",3,97,/bolig.aspx?aid=27992&s=2
"C. F. Møllers Alle  4F, 2. TV2300 København S",01-10-2017,Deas logo,"14.065,00 kr.1.010,00 kr.",3,97,/bolig.aspx?aid=27991&s=2
"C. F. Møllers Alle  2D, 5. TH2300 København S",01-10-2017,Deas logo,"14.000,00 kr.800,00 kr.",3,96,/bolig.aspx?aid=27990&s=2
"C. F. Møllers Alle  2C, 5. TV2300 København S",01-10-2017,Deas logo,"14.291,67 kr.1.010,00 kr.",3,98,/bolig.aspx?aid=27989&s=2
"C. F. Møllers Alle  2B, 4. TH2300 København S",01-10-2017,Deas logo,"14.000,00 kr.800,00 kr.",3,96,/bolig.aspx?aid=27988&s=2
"C. F. Møllers Alle  2B, 3. TH2300 København S",01-10-2017,Deas logo,"13.800,00 kr.460,00 kr.",3,96,/bolig.aspx?aid=27987&s=2
"C. F. Møllers Alle  2B, 1. TV2300 København S",01-10-2017,Deas logo,"13.958,33 kr.790,00 kr.",3,100,/bolig.aspx?aid=27986&s=2
"C. F. Møllers Alle  2A, st.2300 København S",01-10-2017,Deas logo,"15.016,67 kr.740,00 kr.",3,106,/bolig.aspx?aid=27985&s=2
"C. F. Møllers Alle  2A, 6. TH2300 København S",01-10-2017,Deas logo,"14.240,00 kr.300,00 kr.",3,96,/bolig.aspx?aid=27984&s=2
"C. F. Møllers Alle  2A, 1. TV2300 København S",01-10-2017,Deas logo,"14.168,26 kr.780,00 kr.",3,101,/bolig.aspx?aid=27983&s=2
"Krimsvej  11D, st. th.2300 København S",01-12-2017,Lærernes Pension,"11.628,50 kr.700,00 kr.",2,80,/bolig.aspx?aid=27982&s=2
"Marie Curies Allé  4, st. TV.9220 Aalborg Øst",01-11-2017,DaVinciLogo,"8.700,00 kr.805,00 kr.",3,98,/bolig.aspx?aid=27980&s=2
"Dag Hammarskjölds Alle  19 , 5. th2100 København Ø",01-10-2017,Danske civil- og akademiingeniørers Pensionskasse,"13.222,83 kr.790,00 kr.",2,105,/bolig.aspx?aid=27979&s=2
"Margretheholmsvej  40, 7. tv1432 København K",01-12-2017,PKA_Logo_2014,"19.279,09 kr.1.420,00 kr.",4,137,/bolig.aspx?aid=27976&s=2
"Silkeborgvej 28, 3. 18000 Århus C",01-10-2017,TDCP,"8.925,00 kr.525,00 kr.",2,72,/bolig.aspx?aid=27975&s=2
"Ved Store Dyrehave  28, 2. TV.3400 Hillerød",15-12-2017,PenSam,"15.633,44 kr.1.516,67 kr.",4,128,/bolig.aspx?aid=27971&s=2
"Silkeborgvej 28, 3. 38000 Århus C",Ledig nu,TDCP,"8.814,00 kr.515,00 kr.",2,72,/bolig.aspx?aid=27970&s=2
"Silkeborgvej 30, 4. 18000 Århus C",Ledig nu,TDCP,"8.873,00 kr.745,00 kr.",2,73,/bolig.aspx?aid=27969&s=2
"Rytterparken  87 , st.  2765 Smørum",01-10-2017,Deas Logo,"12.160,52 kr.",4,111,/bolig.aspx?aid=27967&s=2
"Lyngholmpark  39 , 1.  3520 Farum",15-12-2017,Deas Logo,"7.136,76 kr.600,00 kr.",2,70,/bolig.aspx?aid=27966&s=2
"Carl Jacobsens Vej  19Y, 2. TV2500 Valby",01-12-2017,Lærernes Pension,"13.768,36 kr.1.100,00 kr.",4,109,/bolig.aspx?aid=27964&s=2
"Carl Jacobsens Vej  19T, 1. TH2500 Valby",01-12-2017,Lærernes Pension,"14.120,11 kr.1.150,00 kr.",4,118,/bolig.aspx?aid=27963&s=2
"Carl Jacobsens Vej  19U, 1. TV2500 Valby",01-12-2017,Lærernes Pension,"15.979,34 kr.1.350,00 kr.",5,140,/bolig.aspx?aid=27962&s=2
Emiliedalen  2158270 Højbjerg,01-12-2017,Lærernes Pension,"13.305,72 kr.",5,127,/bolig.aspx?aid=27961&s=2
"Grejsåvænget  3 , 1. th.7100 Vejle",01-12-2017,Sampension,"8.641,67 kr.800,00 kr.",3,92,/bolig.aspx?aid=27960&s=2
